"갑진년 새해 닻 올랐다···韓경제, 새판 짜기 '시동'",이뉴스투데이,2024.01.01.,http://www.enewstoday.co.kr/news/articleView.html?idxno=2074261
"투자은행 6곳, 美 6월 금리 인하",한국경제,B5면 1단,https://www.hankyung.com/article/2023123129271
"""韓銀, 두 세 차례 금리 내릴 듯…시점은 美 금리 인하 이후인 하반기 ...",한국경제,B3면 1단,https://www.hankyung.com/article/2023123129171
유로존 침체 가능성…트럼프 당선 땐 '악재',한국경제,B5면 1단,https://www.hankyung.com/article/2023123129261
"""고금리 피하기가 관건""…입지·사업성 최대한 따지고 원리금 상환부담...",한국경제,B7면 1단,https://www.hankyung.com/article/2023123129331
아파트 매매가 하락 지속…하반기 수도권 중심 상승 전환할 듯,한국경제,B7면 1단,https://www.hankyung.com/article/2023123129341
무엇보다 기업 투자가 살아나야 저성장 벗어난다 [사설],한국경제언론사 선정,A31면 1단,https://www.hankyung.com/article/2023123133211
"[혁신 2024] '청룡의 해' 부동산 시장, 전문가 6인에게 묻다",아시아타임즈,2024.01.01.,https://www.asiatime.co.kr/article/20231228500014
"[2024 갑진년, 대한민국! 승천하세용(龍)] 긴축 터널, 끝이 보인다",아주경제,2024.01.01.,https://www.ajunews.com/view/20231222104636775
"[2024 경제 전망]⑤ 얼어붙는 내수, 켜켜이 쌓인 부채...""실질소득 증대...",아주경제,2024.01.01.,https://www.ajunews.com/view/20231221132501093
[피벗의 해 한국경제의 길] 성장률·물가 2%대 안정세… 환율은 1200원대...,글로벌이코노믹,2024.01.01.,http://www.g-enews.com/ko-kr/news/article/news_all/202312291332065755f0fb06a6aa_1/article.html
[피벗의 해 한국 경제의 길] 한미 금리인하 시계 돌아간다... 이르면 상...,글로벌이코노믹,2024.01.01.,http://www.g-enews.com/ko-kr/news/article/news_all/202312291122336405bbed569d68_1/article.html
美 연준 '대선의 해' 진퇴양난...금리 인하·동결 모두 '정치적',글로벌이코노믹,2024.01.01.,http://www.g-enews.com/ko-kr/news/article/news_all/202312311135044288be84d87674_1/article.html
美 금리인상 종료 기대에…인도·베트남 뜨는 이유,이데일리언론사 선정,A4면 3단,http://www.edaily.co.kr/news/newspath.asp?newsid=01167686638753456
[신년 인터뷰] 유일호 전 경제부총리 “새해도 재정 허리띠 졸라매야…...,조선비즈언론사 선정,2024.01.01.,https://biz.chosun.com/policy/policy_sub/2024/01/01/OEBE2VH6SFDT3HMJL5GJDARCMU/?utm_source=naver&utm_medium=original&utm_campaign=biz
